PROCESSO ADMIN. Nº,PROCESSO Nº,PERITO__gt,PERITO__pred,status
2079325134,0800237-72.2021.8.15.0001,Cássio Medeiros da Costa Silva,Cássio Medeiros da Costa Silva,TP
2024.815,0805250-57.2018.8.15.0001,Teresa Helena de Araújo Gambarra,Teresa Helena de Araújo Gambarra,TP
2022.815,0815354-35.2023.8.15.0001,Marcela Vasconcelos Fernandes,Marcela Vasconcelos Fernandes,TP
2057.9358,0861321-30.2017.8.15.2001,Alfredo Gomes Neto,Alfredo Gomes Neto,TP
2020.815,0812051-32.2020.8.15.2001,Allysson Magno Soares Ribeiro,Allysson Magno Soares Ribeiro,TP
2012.815,0086175-97.2012.8.15.2001,Expertise Cálculos e Perícias Judiciais,Expertise Cálculos e Perícias Judiciais,TP
2057970000,0807895-02.2024.8.15.0371,Alisson Barreto Fernandes,Alisson Barreto Fernandes,TP
2052.2025,0034084-93.2013.8.15.2001,Kamila Sampaio Nunes Machado - Médica,Kamila Sampaio Nunes Machado - Médica,TP
2025.815,0044092-37.2010.8.15.2001,EXPERTISE CÁLCULOS E PERÍCIAS JUDICIAIS,EXPERTISE CÁLCULOS E PERÍCIAS JUDICIAIS,TP
2025.2026,0829879-70.2022.8.15.2001,Anastásio Alonso Varela,Anastásio Alonso Varela,TP
2025.815,0807940-06.2024.8.15.0371,Alisson Barreto Fernandes,Alisson Barreto Fernandes,TP
2024.815,0040809-16.2004.8.15.2001,Alisson Alves Magalhães,Alisson Alves Magalhães,TP
2025589984,0812507-45.2021.8.15.2001,Expertise Cálculos e Perícias Judiciais,Expertise Cálculos e Perícias Judiciais,TP
2025.815,0844806-41.2022.8.15.2001,EXPERTISE CONSULTORIA E AUDITORIA CONTÁBIL E TRIBUTARIA LTDA,EXPERTISE CONSULTORIA E AUDITORIA CONTÁBIL E TRIBUTARIA LTDA,TP
2020229480,0808671-02.2024.8.15.0371,Alisson Barreto Fernandes,Alisson Barreto Fernandes,TP
010707-94.2025.8.15,0807162-70.2023.8.15.0371,Alisson Barreto Fernandes,Alisson Barreto Fernandes,TP
2025.815,0807980-85.2024.8.15.0371,Alisson Barreto Fernandes,Alisson Barreto Fernandes,TP
2049.103,0802983-69.2022.8.15.0261,Alisson Barreto Fernandes,Alisson Barreto Fernandes,TP
2025.815,0801068-28.2024.8.15.0321,Telma Carla Bosco da Silva,Telma Carla Bosco da Silva,TP
2019585346,0042386-19.2010.8.15.2001,Lavenius Cavalcanti de Albuquerque Filho,Lavenius Cavalcanti de Albuquerque Filho,TP
2008500000,0043170-93.2010.8.15.2001,Lavenius Cavalcanti de Albuquerque Filho,Lavenius Cavalcanti de Albuquerque Filho,TP
2025.2025,0059558-32.2014.8.15.2001,Mariana de Andrade Barbosa,Mariana de Andrade Barbosa,TP
015004-78.2025.8.15,0823984-70.2018.8.15.2001,EXPERTISE CÁLCULOS E PERÍCIAS JUDICIAIS,EXPERTISE CÁLCULOS E PERÍCIAS JUDICIAIS,TP
2020.236,0830572-20.2023.8.15.2001,Giulliene Pereira Rodrigues,Giulliene Pereira Rodrigues,TP
2000001128,0800696-73.2025.8.15.0441,Ana Roberta Borges da Silva,Ana Roberta Borges da Silva,TP
2053427100,0801633-30.2023.8.15.0061,Mário Márcio Pereira Dias Chaves,Mário Márcio Pereira Dias Chaves,TP
2025.815,0801525-69.2021.8.15.0061,Mário Márcio Pereira Dias Chaves,Mário Márcio Pereira Dias Chaves,TP
2025.815,0801447-09.2022.8.15.0201,Samuel Carlos Gomes de Morais,Samuel Carlos Gomes de Morais,TP
2025.815,0802926-98.2024.8.15.0061,Mário Márcio Pereira Dias Chaves,Mário Márcio Pereira Dias Chaves,TP
2000000107,0804872-89.2024.8.15.0131,Pedro de Sousa Leite,Pedro de Sousa Leite,TP
2025.2025,0804821-78.2024.8.15.0131,Pedro de Sousa Leite,Pedro de Sousa Leite,TP
2025.2025,0805061-67.2024.8.15.0131,Pedro de Sousa Leite,Pedro de Sousa Leite,TP
2025.2025,0806282-85.2024.8.15.0131,Pedro de Sousa Leite,Pedro de Sousa Leite,TP
2025.2025,0803860-40.2024.8.15.0131,Pedro de Sousa Leite,Pedro de Sousa Leite,TP
2080.837,0800784-88.2024.8.15.0751,Rui Alves do Nascimento,Rui Alves do Nascimento,TP
2046297374,0840653-62.2022.8.15.2001,Josélio Rodrigues de Oliveira Filho,Josélio Rodrigues de Oliveira Filho,TP
2025.815,0802828-51.2024.8.15.0211,Silmaria Bezerra Porcino Medeiros,Silmaria Bezerra Porcino Medeiros,TP
2024.815,0803087-46.2024.8.15.0211,Silmaria Bezerra Porcino Medeiros,Silmaria Bezerra Porcino Medeiros,TP
016155-35.2025.8.15,0803389-75.2024.8.15.0211,Silmaria Bezerra Porcino Medeiros,Silmaria Bezerra Porcino Medeiros,TP
2000000931,0804518-18.2024.8.15.0211,Silmara Bezerra Porcino Medeiros,Silmara Bezerra Porcino Medeiros,TP
2000000862,0802999-08.2024.8.15.0211,Silmaria Bezerra Porcino Medeiros,Silmaria Bezerra Porcino Medeiros,TP
2041927123,0804778-35.2016.8.15.2003,JOELLEN ZANARDINE CORDEIRO – Engenheira Civil –,JOELLEN ZANARDINE CORDEIRO – Engenheira Civil –,TP
2043184850,0800748-50.2022.8.15.0061,Mário Márcio Pereira Dias Chaves,Mário Márcio Pereira Dias Chaves,TP
017493-36.2025.8.15,0802076-69.2023.8.15.0161,MAGNÓLIA SILVA VERÍSSIMO DE LIMA,MAGNÓLIA SILVA VERÍSSIMO DE LIMA,TP
2072162100,0802374-37.2025.8.15.0211,Aline Grisi de Lacerda,Aline Grisi de Lacerda,TP
2005042413,0801610-82.2023.8.15.0191,Fernanda de Araújo Farias,Fernanda de Araújo Farias,TP
2005042413,0801610-82.2023.8.15.0191,Fernanda de Araújo Farias,Fernanda de Araújo Farias,TP
2005042413,0801610-82.2023.8.15.0191,Fernanda de Araújo Farias,Fernanda de Araújo Farias,TP
2005042413,0801610-82.2023.8.15.0191,Fernanda de Araújo Farias,Fernanda de Araújo Farias,TP
2005042413,0801610-82.2023.8.15.0191,Fernanda de Araújo Farias,Fernanda de Araújo Farias,TP
2005042413,0801610-82.2023.8.15.0191,Fernanda de Araújo Farias,Fernanda de Araújo Farias,TP
2025.815,0802858-06.2022.8.15.0131,BRENO FRANCISCO PEREIRA,BRENO FRANCISCO PEREIRA,TP
2057.9358,0874905-96.2019.8.15.2001,Alfredo Gomes Neto,Alfredo Gomes Neto,TP
2043.2025,0800820-16.2024.8.15.0401,Aline Grisi de Lacerda,Aline Grisi de Lacerda,TP
2025.815,0809114-50.2024.8.15.0371,Felipe Queiroga Gadelha,Felipe Queiroga Gadelha,TP
2021030239,0803249-41.2024.8.15.0211,Gustavo Leitão de Figueiredo Medeiros,Gustavo Leitão de Figueiredo Medeiros,TP
2000001074,0803648-70.2024.8.15.0211,Gustavo Leitão de Figueiredo Medeiros,Gustavo Leitão de Figueiredo Medeiros,TP
2025.815,0847455-13.2021.8.15.2001,Alcimar Alves Fraga,Alcimar Alves Fraga,TP
2025.815,0842262-80.2022.8.15.2001,JOSÉ WELLYSON MENESES BRILHANTE,JOSÉ WELLYSON MENESES BRILHANTE,TP
2005042413,,Fernanda de Araújo Farias,Fernanda de Araújo Farias,TP
2021.815,0800545-02.2021.8.15.1071,Aline Grisi de Lacerda,Aline Grisi de Lacerda,TP
2010011233,0801804-56.2025.8.15.0371,Eduardo de Araújo Leite,Eduardo de Araújo Leite,TP
2000001164,0801282-77.2025.8.15.0161,Aline Grisi de Lacerda,Aline Grisi de Lacerda,TP
2025.815,0856615-28.2022.8.15.2001,Giovanna Vilar Frazão Marques,Giovanna Vilar Frazão Marques,TP
2025100213,0812004-31.2024.8.15.0251,Jamile Silva de Oliveira,Jamile Silva de Oliveira,TP
2000001137,0804780-81.2024.8.15.0141,Jamile Silva de Oliveira,Jamile Silva de Oliveira,TP
2025.2025,0801525-30.2024.8.15.0331,Aline Grisi de Lacerda,Aline Grisi de Lacerda,TP
2025.2025,0806890-65.2024.8.15.0331,ALINE GRISI DE LACERDA,ALINE GRISI DE LACERDA,TP
2025.2025,0809027-20.2024.8.15.0331,Aline Grisi de Lacerda,Aline Grisi de Lacerda,TP
018548-56.2025.8.15,0802240-10.2025.8.15.0211,Aline Grisi de Lacerda,Aline Grisi de Lacerda,TP
2017.2711,0802271-30.2025.8.15.0211,Aline Grisi de Lacerda,Aline Grisi de Lacerda,TP
2061.1718,0800708-98.2025.8.15.0211,Aline Grisi de Lacerda,Aline Grisi de Lacerda,TP
2000001141,0802016-81.2024.8.15.0381,Aline Grisi de Lacerda - Entrevistadora Forense Psicóloga,Aline Grisi de Lacerda - Entrevistadora Forense Psicóloga,TP
2025.2025,0859010-90.2022.8.15.2001,Dommenique Carvalho de Lacerda,Dommenique Carvalho de Lacerda,TP
2023.815,,Aline Grisi de Lacerda,Aline Grisi de Lacerda,TP
2025.815,0801715-88.2025.8.15.0191,ALINE GRISE DE LACERDA,ALINE GRISE DE LACERDA,TP
2011317294,0802898-94.2021.8.15.0301,Felipe Queiroga Gadelha,Felipe Queiroga Gadelha,TP
2010011233,0806043-06.2025.8.15.0371,Eduardo de Araújo Leite,Eduardo de Araújo Leite,TP
2010011233,0805174-43.2025.8.15.0371,Eduardo de Araújo Leite,Eduardo de Araújo Leite,TP
2005042413,0801931-87.2023.8.15.0201,Fernanda de Araújo Farias,Fernanda de Araújo Farias,TP
2035.2025,0024880-24.2010.8.15.2003,JOELLEN ZANARDINE BUSTORFF,JOELLEN ZANARDINE BUSTORFF,TP
2024.815,,Aline Grisi de Lacerda,Aline Grisi de Lacerda,TP
2024.815,,Aline Grisi de Lacerda,Aline Grisi de Lacerda,TP
2024.815,,Aline Grisi de Lacerda,Aline Grisi de Lacerda,TP
2025.815,0804349-58.2022.8.15.2003,João Luiz Padilha de Aguiar,João Luiz Padilha de Aguiar,TP
2025100613,0804876-33.2023.8.15.0141,Jamile Silva de Oliveira,Jamile Silva de Oliveira,TP
2027165660,0802105-51.2025.8.15.0161,Magnólia Silva Veríssimo de Lima,Magnólia Silva Veríssimo de Lima,TP
2008.2025,0800975-39.2024.8.15.0071,Eliana Menezes,Eliana Menezes,TP
2000001168,0000194-63.2015.8.15.1171,Sandriele Leite Mota,Sandriele Leite Mota,TP
2018250235,0804254-69.2025.8.15.0371,Eduardo de Araújo Leite,Eduardo de Araújo Leite,TP
2025.2025,0865118-67.2024.8.15.2001,Dommenique Carvalho Psicologia LTDA.,Dommenique Carvalho Psicologia LTDA.,TP
2020.815,0845349-15.2020.8.15.2001,Felipe Queiroga Gadelha,Felipe Queiroga Gadelha,TP
2005042413,0800165-58.2024.8.15.0461,Fernanda de Araújo Farias,Fernanda de Araújo Farias,TP
2005042413,0800473-94.2024.8.15.0461,Fernanda de Araújo Farias,Fernanda de Araújo Farias,TP
2005042413,0801059-68.2023.8.15.0461,Fernanda de Araújo Farias,Fernanda de Araújo Farias,TP
2005042413,0800496-74.2023.8.15.0461,Fernanda de Araujo Farias,Fernanda de Araujo Farias,TP
2005042413,0801674-58.2023.8.15.0461,Fernanda de Araújo Farias,Fernanda de Araújo Farias,TP
2005042413,0801101-49.2025.8.15.0461,Fernanda de Araújo Farias,Fernanda de Araújo Farias,TP
2005042413,0800462-31.2025.8.15.0461,FERNANDA DE ARAÚJO FARIAS,FERNANDA DE ARAÚJO FARIAS,TP
2005042413,0801404-97.2024.8.15.0461,FERNANDA DE ARAÚJO FARIAS,FERNANDA DE ARAÚJO FARIAS,TP
2005042413,0800077-25.2021.8.15.0461,Fernanda de Araújo Farias,Fernanda de Araújo Farias,TP
2066.61454,0801128-19.2023.8.15.0391,Marah Danielle Queiroz Conserva de Oliveira,Marah Danielle Queiroz Conserva de Oliveira,TP
2005042413,0801376-32.2024.8.15.0461,FERNANDA DE ARAÚJO FARIAS,FERNANDA DE ARAÚJO FARIAS,TP
2066.61454,0801035-27.2021.8.15.0391,Marah Danielle Queiroz Conserva de Oliveira,Marah Danielle Queiroz Conserva de Oliveira,TP
2066.61454,0801034-42.2021.8.15.0391,MARAH DANIELLE QUEIROZ CONSERVA DE OLIVEIRA,MARAH DANIELLE QUEIROZ CONSERVA DE OLIVEIRA,TP
2000000114,0801660-26.2025.8.15.0131,Juliana Alves de Sá,Juliana Alves de Sá,TP
019390-43.2025.8.15,0805281-87.2025.8.15.0371,Eduardo de Araújo Leite,Eduardo de Araújo Leite,TP
019391-09.2025.8.15,0805181-35.2025.8.15.0371,Eduardo de Araújo Leite,Eduardo de Araújo Leite,TP
2008.169,0805161-44.2025.8.15.0371,Eduardo de Araújo Leite,Eduardo de Araújo Leite,TP
2095.2025,0805171-88.2025.8.15.0371,Eduardo de Araújo Leite,Eduardo de Araújo Leite,TP
2090855660,0800309-81.2018.8.15.0351,Felipe Queiroga Gadelha,Felipe Queiroga Gadelha,TP
2005042413,0801155-49.2024.8.15.0461,FERNANDA DE ARAÚJO FARIAS,FERNANDA DE ARAÚJO FARIAS,TP
2005042413,0000496-15.2020.8.15.0461,FERNANDA DE ARAÚJO FARIAS,FERNANDA DE ARAÚJO FARIAS,TP
019418-61.2025.8.15,0800581-54.2024.8.15.0581,ALINE GRISI DE LACERDA,ALINE GRISI DE LACERDA,TP
2005042413,0801308-53.2022.8.15.0461,FERNANDA DE ARAÚJO FARIAS,FERNANDA DE ARAÚJO FARIAS,TP
2005042413,0800488-97.2023.8.15.0461,Fernanda de Araújo Farias,Fernanda de Araújo Farias,TP
2040.2025,0800013-05.2024.8.15.0301,Jamile Silva de Oliveira– Entrevistadora Forense Assistente Social,Jamile Silva de Oliveira– Entrevistadora Forense Assistente Social,TP
2016.2025,0801129-93.2025.8.15.0371,Eduardo de Araújo Leite,Eduardo de Araújo Leite,TP
2066.61454,0800827-04.2025.8.15.0391,MARAH DANIELLE QUEIROZ CONSERVA DE OLIVEIRA,MARAH DANIELLE QUEIROZ CONSERVA DE OLIVEIRA,TP
2010011233,0807839-66.2024.8.15.0371,Eduardo de Araújo Leite,Eduardo de Araújo Leite,TP
2066.61454,0800796-81.2025.8.15.0391,MARAH DANIELLE QUEIROZ CONSERVA DE OLIVEIRA,MARAH DANIELLE QUEIROZ CONSERVA DE OLIVEIRA,TP
2000000116,0806259-98.2024.8.15.0371,Eduardo de Araújo Leite,Eduardo de Araújo Leite,TP
2020251015,0801390-11.2024.8.15.0301,Jamile Silva de Oliveira,Jamile Silva de Oliveira,TP
019471-05.2025.8.15,0804302-28.2025.8.15.0371,Eduardo de Araújo Leite,Eduardo de Araújo Leite,TP
2025115000,0802809-16.2025.8.15.0371,Eduardo de Araújo Leite,Eduardo de Araújo Leite,TP
019489-72.2025.8.15,0801811-43.2025.8.15.0211,Aline Grisi de Lacerda,Aline Grisi de Lacerda,TP
019492-67.2025.8.15,0801811-43.2025.8.15.0211,Aline Grisi de Lacerda,Aline Grisi de Lacerda,TP
019493-33.2025.8.15,0802123-19.2025.8.15.0211,Aline Grisi de Lacerda,Aline Grisi de Lacerda,TP
2004555510,0801364-55.2025.8.15.0211,Aline Grisi de Lacerda,Aline Grisi de Lacerda,TP
2004555510,0801364-55.2025.8.15.0211,Aline Grisi de Lacerda,Aline Grisi de Lacerda,TP
2035800265,0801747-95.2023.8.15.0601,TARCÍSIO BARBALHO CAVALCANTE,TARCÍSIO BARBALHO CAVALCANTE,TP
2010000010,0800659-22.2025.8.15.0061,Mário Márcio Pereira Dias Chaves,Mário Márcio Pereira Dias Chaves,TP
2000000859,0802115-34.2023.8.15.0301,Felipe Queiroga Gadelha,Felipe Queiroga Gadelha,TP
2035800265,0801944-16.2024.8.15.0601,Tarcísio Barbalho Cavalcante,Tarcísio Barbalho Cavalcante,TP
2035800265,,Tarcísio Barbalho Cavalcante,Tarcísio Barbalho Cavalcante,TP
019534-94.2025.8.15,0800930-65.2024.8.15.0061,Felipe Queiroga Gadelha,Felipe Queiroga Gadelha,TP
2022.815,0801780-86.2022.8.15.0321,Aline Grisi de Lacerda,Aline Grisi de Lacerda,TP
2024.815,,Aline Grisi de Lacerda,Aline Grisi de Lacerda,TP
2094901533,0801418-16.2024.8.15.0321,Aline Grisi de Lacerda,Aline Grisi de Lacerda,TP
2028485270,0802956-63.2024.8.15.0731,INSS,INSS,TP
2013.950,0000185-04.2015.8.15.1171,Talita Pires Figueiredo,Talita Pires Figueiredo,TP
2000000999,0802246-46.2024.8.15.0051,Francisco Filipy Fernandes Rocha,Francisco Filipy Fernandes Rocha,TP
019677-82.2025.8.15,0804801-12.2025.8.15.0371,Eduardo de Araújo Leite,Eduardo de Araújo Leite,TP
019678-48.2025.8.15,0805172-73.2025.8.15.0371,Eduardo de Araújo Leite,Eduardo de Araújo Leite,TP
2029.618,0803293-97.2016.8.15.2003,Carmen Virgínia Albuquerque Almeida– Perita contadora,Carmen Virgínia Albuquerque Almeida– Perita contadora,TP
2005042413,0802388-85.2024.8.15.0201,Fernanda de Araújo Farias,Fernanda de Araújo Farias,TP
2005042413,0802446-54.2025.8.15.0201,Fernanda de Araújo Farias,Fernanda de Araújo Farias,TP
2005042413,0802287-14.2025.8.15.0201,Fernanda de Araújo Farias,Fernanda de Araújo Farias,TP
2025.815,0801360-17.2024.8.15.0061,MÁRIO MÁRCIO PEREIRA DIAS CHAVES,MÁRIO MÁRCIO PEREIRA DIAS CHAVES,TP
2005042413,0802410-12.2025.8.15.0201,Fernanda de Araújo Farias,Fernanda de Araújo Farias,TP
2005042413,0802409-27.2025.8.15.0201,Fernanda de Araújo Farias,Fernanda de Araújo Farias,TP
2000001174,0804912-36.2023.8.15.0251,Felipe Queiroga Gadelha,Felipe Queiroga Gadelha,TP
2005042413,0000421-41.2018.8.15.0171,Fernanda de Araújo Farias,Fernanda de Araújo Farias,TP
2025815038,0800190-70.2025.8.15.2002,Aline Grisi de Lacerda,Aline Grisi de Lacerda,TP
019842-98.2025.8.15,0803178-48.2023.8.15.0381,Aline Grisi de Lacerda,Aline Grisi de Lacerda,TP
019882-96.2025.8.15,0805282-72.2025.8.15.0371,Eduardo de Araújo Leite,Eduardo de Araújo Leite,TP
019888-86.2025.8.15,0804342-10.2025.8.15.0371,Eduardo de Araújo Leite,Eduardo de Araújo Leite,TP
2035800265,0801427-31.2023.8.15.0541,Tarcísio Barbalho Cavalcante,Tarcísio Barbalho Cavalcante,TP
2025815054,0800443-76.2025.8.15.0541,Aline Santos Soares,Aline Santos Soares,TP
019948-83.2025.8.15,,GABRIELLE VIDERES DE ALMEIDA MARQUES,GABRIELLE VIDERES DE ALMEIDA MARQUES,TP
2025.815,0800533-41.2025.8.15.0911,Eliana Menezes,Eliana Menezes,TP
2025.815,0801435-28.2024.8.15.0911,Eliana Menezes,Eliana Menezes,TP
2035800265,0800813-55.2025.8.15.0541,Tarcísio Barbalho Cavalcante,Tarcísio Barbalho Cavalcante,TP
2025.815,0801009-25.2025.8.15.0541,Poliana Gragen de Vasconcelos Ferreira,Poliana Gragen de Vasconcelos Ferreira,TP
2005042413,0804093-31.2024.8.15.0521,Fernanda de Araújo Farias,Fernanda de Araújo Farias,TP
2025605341,0800397-06.2023.8.15.0041,Felipe Queiroga Gadelha,Felipe Queiroga Gadelha,TP
2042522400,0801708-71.2022.8.20.5103,Felipe Queiroga Gadelha,Felipe Queiroga Gadelha,TP
2071857622,0800148-26.2021.8.15.0041,Felipe Queiroga Gadelha,Felipe Queiroga Gadelha,TP
2013378261,0800529-34.2021.8.15.0041,Felipe Queiroga Gadelha,Felipe Queiroga Gadelha,TP
2000000968,0801039-47.2021.8.15.0041,Felipe Queiroga Gadelha,Felipe Queiroga Gadelha,TP
2064.2025,0801832-91.2025.8.15.0381,,,TN
2091157496,0801594-25.2021.8.15.0151,Felipe Queiroga Gadelha,Felipe Queiroga Gadelha,TP
2018000001,0801648-92.2024.8.15.0051,Juliana Alves de Sá,Juliana Alves de Sá,TP
2050530850,0800916-47.2025.8.15.0061,Mário Márcio Pereira Dias Chaves,Mário Márcio Pereira Dias Chaves,TP
2025.815,0801030-80.2025.8.15.2002,Poliana Gragen de Vasconcelos Ferreira,Poliana Gragen de Vasconcelos Ferreira,TP
2063.6187,0800020-53.2021.8.15.0381,Aline Grisi de Lacerda,Aline Grisi de Lacerda,TP
2025.2025,0804115-43.2025.8.15.0331,Aline Grisi de Lacerda,Aline Grisi de Lacerda,TP
2025.2025,0800917-95.2025.8.15.0331,Aline Grisi de Lacerda,Aline Grisi de Lacerda,TP
2060230000,0843813-32.2021.8.15.2001,Felipe Queiroga Gadelha,Felipe Queiroga Gadelha,TP
2082900000,0801020-63.2025.8.15.0441,Ana Roberta Borges da Silva Cruz,Ana Roberta Borges da Silva Cruz,TP
2014464000,0800247-91.2021.8.15.0171,Ravel Carneiro Evaristo,Ravel Carneiro Evaristo,TP
2042000001,0800805-87.2025.8.15.0441,Ana Roberta Borges da Silva Cruz,Ana Roberta Borges da Silva Cruz,TP
2070000011,0801993-52.2024.8.15.0441,Ana Roberta Borges da Silva Cruz,Ana Roberta Borges da Silva Cruz,TP
2025.815,0805007-48.2023.8.15.2003,João Luiz Padilha de Aguiar,João Luiz Padilha de Aguiar,TP
2021718063,0800893-28.2025.8.15.0441,Ana Roberta Borges da Silva Cruz,Ana Roberta Borges da Silva Cruz,TP
2020.04453,0800781-59.2025.8.15.0441,Ana Paula dos Santos Tavares,Ana Paula dos Santos Tavares,TP
2086894713,0006625-63.2012.8.15.0381,Aline Grisi de Lacerda,Aline Grisi de Lacerda,TP
2010011233,0801255-46.2025.8.15.0371,Eduardo de Araújo Leite,Eduardo de Araújo Leite,TP
2063.8413,0804389-56.2022.8.15.0381,Aline Grisi de Lacerda,Aline Grisi de Lacerda,TP
2000001017,0800305-37.2025.8.15.0371,Eduardo de Araújo Leite,Eduardo de Araújo Leite,TP
020858-86.2025.8.15,0801067-10.2025.8.15.0741,Aline Grisi de Lacerda,Aline Grisi de Lacerda,TP
020859-52.2025.8.15,0801753-38.2022.8.15.0181,Aline Grisi de Lacerda,Aline Grisi de Lacerda,TP
2037800000,0801410-73.2024.8.15.0051,Francisco Filipy Fernandes Rocha,Francisco Filipy Fernandes Rocha,TP
2023.815,,Eliana Menezes,Eliana Menezes,TP
2022.815,0801157-23.2022.8.15.0741,Eliana Menezes,Eliana Menezes,TP
2000000990,0800780-74.2018.8.15.0391,do(a) perito(a) abaixo:,do(a) perito(a) abaixo:,TP
2012031130,0802311-30.2020.8.15.0391,Adjane Pereira Jacó,Adjane Pereira Jacó,TP
021224-58.2025.8.15,0801253-63.2025.8.15.0731,Poliana Gragen de Vasconcelos Ferreira,Poliana Gragen de Vasconcelos Ferreira,TP
2000001166,0800375-81.2025.8.15.0071,Eliana Menezes,Eliana Menezes,TP
2025.815,0800140-74.2025.8.15.0731,Poliana Gragen de Vasconcelos Ferreira,Poliana Gragen de Vasconcelos Ferreira,TP
2024815073,0800317-38.2025.8.15.0731,Poliana Gragen de Vasconcelos Ferreira,Poliana Gragen de Vasconcelos Ferreira,TP
2078.064,0800945-31.2023.8.15.0041,Felipe Queiroga Gadelha,Felipe Queiroga Gadelha,TP
021359-27.2025.8.15,0801590-97.2025.8.15.0231,Aline Grisi de Lacerda,Aline Grisi de Lacerda,TP
2005042413,0801030-05.2024.8.15.0551,Fernanda de Araújo Farias,Fernanda de Araújo Farias,TP
2005042413,0800124-78.2025.8.15.0551,Fernanda de Araújo Farias,Fernanda de Araújo Farias,TP
2005042413,0800833-16.2025.8.15.0551,Fernanda de Araújo Farias,Fernanda de Araújo Farias,TP
2023813000,0800483-29.2023.8.15.0541,Aline Santos Soares,Aline Santos Soares,TP
2096.296,0866055-87.2018.8.15.2001,EXCELÊNCIA ASSESSORIA E CÁLCULOS JURÍDICOS LTDA.,EXCELÊNCIA ASSESSORIA E CÁLCULOS JURÍDICOS LTDA.,TP
2044.2025,0805172-81.2020.8.15.0231,Aline Grisi de Lacerda Entrevistador Forense Psicóloga,Aline Grisi de Lacerda Entrevistador Forense Psicóloga,TP
2013826054,0801803-65.2024.8.15.0061,Felipe Queiroga Gadelha,Felipe Queiroga Gadelha,TP
021510-34.2025.8.15,0828969-58.2024.8.15.0001,Felipe Queiroga Gadelha,Felipe Queiroga Gadelha,TP
2025605828,0802846-46.2023.8.15.0231,Aline Grisi de Lacerda,Aline Grisi de Lacerda,TP
2071513495,0800465-07.2022.8.15.0391,do(a) perito(a) abaixo:,do(a) perito(a) abaixo:,TP
2061216362,0800885-94.2022.8.15.0881,Ediclécia Dantas Herculano,Ediclécia Dantas Herculano,TP
021726-62.2025.8.15,0809943-31.2024.8.15.0371,Juliana Alves de Sá,Juliana Alves de Sá,TP
2000001173,0800430-22.2022.8.15.0561,GUSTAVO LEITÃO DE FIGUEIREDO MEDEIROS,GUSTAVO LEITÃO DE FIGUEIREDO MEDEIROS,TP
022027-13.2025.8.15,0801232-63.2025.8.15.0351,Poliana Gracen de Vasconcelos Ferreira,Poliana Gracen de Vasconcelos Ferreira,TP
2025.815,0802789-85.2025.8.15.0351,POLIANA GRAGEN DE VASCONCELOS FERREIRA,POLIANA GRAGEN DE VASCONCELOS FERREIRA,TP
022061-21.2025.8.15,0802787-18.2025.8.15.0351,Poliana Gragen de Vasconcelos Ferreira,Poliana Gragen de Vasconcelos Ferreira,TP
2022.815,0806165-11.2022.8.15.0731,POLIANA GRAGEN DE VASCONCELOS FERREIRA,POLIANA GRAGEN DE VASCONCELOS FERREIRA,TP
2008324544,0800016-38.2023.8.15.0351,POLIANA GRAGEN DE VASCONCELOS FERREIRA,POLIANA GRAGEN DE VASCONCELOS FERREIRA,TP
2045545624,0818809-90.2021.8.15.2001,Yanna Klicia dos Santos - Engenheira Civil,Yanna Klicia dos Santos - Engenheira Civil,TP
